dataset,prompt,model,correct,judge_score
W5-GSM8K,gsm8k-001,gpt-4o,1,5
W5-GSM8K,gsm8k-001,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-001,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-002,gpt-4o,1,1
W5-GSM8K,gsm8k-002,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-002,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-003,gpt-4o,1,5
W5-GSM8K,gsm8k-003,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-003,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-004,gpt-4o,1,5
W5-GSM8K,gsm8k-004,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-004,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-005,gpt-4o,1,1
W5-GSM8K,gsm8k-005,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-005,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-006,gpt-4o,1,1
W5-GSM8K,gsm8k-006,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-006,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-007,gpt-4o,0,5
W5-GSM8K,gsm8k-007,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-007,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-008,gpt-4o,0,1
W5-GSM8K,gsm8k-008,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-008,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-009,gpt-4o,0,5
W5-GSM8K,gsm8k-009,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-009,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-010,gpt-4o,0,5
W5-GSM8K,gsm8k-010,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-010,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-011,gpt-4o,0,5
W5-GSM8K,gsm8k-011,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-011,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-012,gpt-4o,0,5
W5-GSM8K,gsm8k-012,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-012,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-013,gpt-4o,0,5
W5-GSM8K,gsm8k-013,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-013,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-014,gpt-4o,1,5
W5-GSM8K,gsm8k-014,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-014,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-015,gpt-4o,1,5
W5-GSM8K,gsm8k-015,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-015,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-016,gpt-4o,1,5
W5-GSM8K,gsm8k-016,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-016,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-017,gpt-4o,1,5
W5-GSM8K,gsm8k-017,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-017,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-018,gpt-4o,0,1
W5-GSM8K,gsm8k-018,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-018,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-019,gpt-4o,1,5
W5-GSM8K,gsm8k-019,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-019,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-020,gpt-4o,1,5
W5-GSM8K,gsm8k-020,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-020,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-021,gpt-4o,0,5
W5-GSM8K,gsm8k-021,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-021,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-022,gpt-4o,0,5
W5-GSM8K,gsm8k-022,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-022,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-023,gpt-4o,1,5
W5-GSM8K,gsm8k-023,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-023,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-024,gpt-4o,1,3
W5-GSM8K,gsm8k-024,gpt-4o-mini,1,3
W5-GSM8K,gsm8k-024,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-025,gpt-4o,1,5
W5-GSM8K,gsm8k-025,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-025,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-026,gpt-4o,1,5
W5-GSM8K,gsm8k-026,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-026,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-027,gpt-4o,1,5
W5-GSM8K,gsm8k-027,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-027,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-028,gpt-4o,1,5
W5-GSM8K,gsm8k-028,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-028,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-029,gpt-4o,1,5
W5-GSM8K,gsm8k-029,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-029,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-030,gpt-4o,1,5
W5-GSM8K,gsm8k-030,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-030,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-031,gpt-4o,0,5
W5-GSM8K,gsm8k-031,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-031,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-032,gpt-4o,0,5
W5-GSM8K,gsm8k-032,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-032,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-033,gpt-4o,1,5
W5-GSM8K,gsm8k-033,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-033,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-034,gpt-4o,1,5
W5-GSM8K,gsm8k-034,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-034,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-035,gpt-4o,1,5
W5-GSM8K,gsm8k-035,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-035,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-036,gpt-4o,1,5
W5-GSM8K,gsm8k-036,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-036,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-037,gpt-4o,1,5
W5-GSM8K,gsm8k-037,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-037,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-038,gpt-4o,1,5
W5-GSM8K,gsm8k-038,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-038,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-039,gpt-4o,1,5
W5-GSM8K,gsm8k-039,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-039,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-040,gpt-4o,1,5
W5-GSM8K,gsm8k-040,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-040,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-041,gpt-4o,1,5
W5-GSM8K,gsm8k-041,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-041,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-042,gpt-4o,1,5
W5-GSM8K,gsm8k-042,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-042,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-043,gpt-4o,1,5
W5-GSM8K,gsm8k-043,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-043,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-044,gpt-4o,0,5
W5-GSM8K,gsm8k-044,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-044,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-045,gpt-4o,0,5
W5-GSM8K,gsm8k-045,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-045,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-046,gpt-4o,0,5
W5-GSM8K,gsm8k-046,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-046,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-047,gpt-4o,1,5
W5-GSM8K,gsm8k-047,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-047,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-048,gpt-4o,0,1
W5-GSM8K,gsm8k-048,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-048,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-049,gpt-4o,1,5
W5-GSM8K,gsm8k-049,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-049,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-050,gpt-4o,1,5
W5-GSM8K,gsm8k-050,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-050,gpt-4.1-nano,0,5
W6-MMLU,mmlu-001,gpt-4o,1,1
W6-MMLU,mmlu-001,gpt-4o-mini,1,1
W6-MMLU,mmlu-001,gpt-4.1-nano,1,1
W6-MMLU,mmlu-002,gpt-4o,0,5
W6-MMLU,mmlu-002,gpt-4o-mini,0,5
W6-MMLU,mmlu-002,gpt-4.1-nano,0,1
W6-MMLU,mmlu-003,gpt-4o,1,5
W6-MMLU,mmlu-003,gpt-4o-mini,0,5
W6-MMLU,mmlu-003,gpt-4.1-nano,0,3
W6-MMLU,mmlu-004,gpt-4o,1,5
W6-MMLU,mmlu-004,gpt-4o-mini,0,5
W6-MMLU,mmlu-004,gpt-4.1-nano,0,5
W6-MMLU,mmlu-005,gpt-4o,1,5
W6-MMLU,mmlu-005,gpt-4o-mini,1,5
W6-MMLU,mmlu-005,gpt-4.1-nano,0,1
W6-MMLU,mmlu-006,gpt-4o,0,5
W6-MMLU,mmlu-006,gpt-4o-mini,0,5
W6-MMLU,mmlu-006,gpt-4.1-nano,0,5
W6-MMLU,mmlu-007,gpt-4o,1,3
W6-MMLU,mmlu-007,gpt-4o-mini,1,3
W6-MMLU,mmlu-007,gpt-4.1-nano,1,3
W6-MMLU,mmlu-008,gpt-4o,0,5
W6-MMLU,mmlu-008,gpt-4o-mini,0,5
W6-MMLU,mmlu-008,gpt-4.1-nano,0,3
W6-MMLU,mmlu-009,gpt-4o,1,5
W6-MMLU,mmlu-009,gpt-4o-mini,1,5
W6-MMLU,mmlu-009,gpt-4.1-nano,0,1
W6-MMLU,mmlu-010,gpt-4o,1,5
W6-MMLU,mmlu-010,gpt-4o-mini,1,5
W6-MMLU,mmlu-010,gpt-4.1-nano,0,5
W6-MMLU,mmlu-011,gpt-4o,0,5
W6-MMLU,mmlu-011,gpt-4o-mini,0,5
W6-MMLU,mmlu-011,gpt-4.1-nano,0,5
W6-MMLU,mmlu-012,gpt-4o,1,1
W6-MMLU,mmlu-012,gpt-4o-mini,0,3
W6-MMLU,mmlu-012,gpt-4.1-nano,0,3
W6-MMLU,mmlu-013,gpt-4o,0,5
W6-MMLU,mmlu-013,gpt-4o-mini,0,5
W6-MMLU,mmlu-013,gpt-4.1-nano,0,5
W6-MMLU,mmlu-014,gpt-4o,0,5
W6-MMLU,mmlu-014,gpt-4o-mini,0,5
W6-MMLU,mmlu-014,gpt-4.1-nano,0,3
W6-MMLU,mmlu-015,gpt-4o,0,5
W6-MMLU,mmlu-015,gpt-4o-mini,0,5
W6-MMLU,mmlu-015,gpt-4.1-nano,1,5
W6-MMLU,mmlu-016,gpt-4o,0,5
W6-MMLU,mmlu-016,gpt-4o-mini,0,5
W6-MMLU,mmlu-016,gpt-4.1-nano,0,5
W6-MMLU,mmlu-017,gpt-4o,1,5
W6-MMLU,mmlu-017,gpt-4o-mini,1,5
W6-MMLU,mmlu-017,gpt-4.1-nano,1,5
W6-MMLU,mmlu-018,gpt-4o,1,5
W6-MMLU,mmlu-018,gpt-4o-mini,0,5
W6-MMLU,mmlu-018,gpt-4.1-nano,1,5
W6-MMLU,mmlu-019,gpt-4o,1,5
W6-MMLU,mmlu-019,gpt-4o-mini,1,5
W6-MMLU,mmlu-019,gpt-4.1-nano,1,5
W6-MMLU,mmlu-020,gpt-4o,1,5
W6-MMLU,mmlu-020,gpt-4o-mini,1,5
W6-MMLU,mmlu-020,gpt-4.1-nano,1,5
W6-MMLU,mmlu-021,gpt-4o,0,5
W6-MMLU,mmlu-021,gpt-4o-mini,0,1
W6-MMLU,mmlu-021,gpt-4.1-nano,0,1
W6-MMLU,mmlu-022,gpt-4o,1,5
W6-MMLU,mmlu-022,gpt-4o-mini,0,5
W6-MMLU,mmlu-022,gpt-4.1-nano,1,5
W6-MMLU,mmlu-023,gpt-4o,1,5
W6-MMLU,mmlu-023,gpt-4o-mini,1,5
W6-MMLU,mmlu-023,gpt-4.1-nano,0,1
W6-MMLU,mmlu-024,gpt-4o,1,5
W6-MMLU,mmlu-024,gpt-4o-mini,1,5
W6-MMLU,mmlu-024,gpt-4.1-nano,1,5
W6-MMLU,mmlu-025,gpt-4o,0,5
W6-MMLU,mmlu-025,gpt-4o-mini,0,5
W6-MMLU,mmlu-025,gpt-4.1-nano,0,5
W6-MMLU,mmlu-026,gpt-4o,1,5
W6-MMLU,mmlu-026,gpt-4o-mini,1,5
W6-MMLU,mmlu-026,gpt-4.1-nano,1,5
W6-MMLU,mmlu-027,gpt-4o,1,5
W6-MMLU,mmlu-027,gpt-4o-mini,1,5
W6-MMLU,mmlu-027,gpt-4.1-nano,1,5
W6-MMLU,mmlu-028,gpt-4o,1,5
W6-MMLU,mmlu-028,gpt-4o-mini,1,5
W6-MMLU,mmlu-028,gpt-4.1-nano,1,5
W6-MMLU,mmlu-029,gpt-4o,1,5
W6-MMLU,mmlu-029,gpt-4o-mini,0,5
W6-MMLU,mmlu-029,gpt-4.1-nano,0,5
W6-MMLU,mmlu-030,gpt-4o,1,5
W6-MMLU,mmlu-030,gpt-4o-mini,1,5
W6-MMLU,mmlu-030,gpt-4.1-nano,1,5
W6-MMLU,mmlu-031,gpt-4o,1,5
W6-MMLU,mmlu-031,gpt-4o-mini,0,5
W6-MMLU,mmlu-031,gpt-4.1-nano,0,5
W6-MMLU,mmlu-032,gpt-4o,1,5
W6-MMLU,mmlu-032,gpt-4o-mini,1,5
W6-MMLU,mmlu-032,gpt-4.1-nano,1,5
W6-MMLU,mmlu-033,gpt-4o,1,5
W6-MMLU,mmlu-033,gpt-4o-mini,1,5
W6-MMLU,mmlu-033,gpt-4.1-nano,1,5
W6-MMLU,mmlu-034,gpt-4o,1,3
W6-MMLU,mmlu-034,gpt-4o-mini,1,3
W6-MMLU,mmlu-034,gpt-4.1-nano,1,3
W6-MMLU,mmlu-035,gpt-4o,0,5
W6-MMLU,mmlu-035,gpt-4o-mini,0,5
W6-MMLU,mmlu-035,gpt-4.1-nano,0,5
W6-MMLU,mmlu-036,gpt-4o,1,5
W6-MMLU,mmlu-036,gpt-4o-mini,1,5
W6-MMLU,mmlu-036,gpt-4.1-nano,1,5
W6-MMLU,mmlu-037,gpt-4o,0,5
W6-MMLU,mmlu-037,gpt-4o-mini,0,5
W6-MMLU,mmlu-037,gpt-4.1-nano,1,5
W6-MMLU,mmlu-038,gpt-4o,0,5
W6-MMLU,mmlu-038,gpt-4o-mini,1,5
W6-MMLU,mmlu-038,gpt-4.1-nano,0,5
W6-MMLU,mmlu-039,gpt-4o,0,5
W6-MMLU,mmlu-039,gpt-4o-mini,0,5
W6-MMLU,mmlu-039,gpt-4.1-nano,0,5
W6-MMLU,mmlu-040,gpt-4o,1,5
W6-MMLU,mmlu-040,gpt-4o-mini,0,1
W6-MMLU,mmlu-040,gpt-4.1-nano,0,1
W6-MMLU,mmlu-041,gpt-4o,1,5
W6-MMLU,mmlu-041,gpt-4o-mini,1,5
W6-MMLU,mmlu-041,gpt-4.1-nano,0,5
W6-MMLU,mmlu-042,gpt-4o,0,5
W6-MMLU,mmlu-042,gpt-4o-mini,0,5
W6-MMLU,mmlu-042,gpt-4.1-nano,0,1
W6-MMLU,mmlu-043,gpt-4o,0,5
W6-MMLU,mmlu-043,gpt-4o-mini,0,5
W6-MMLU,mmlu-043,gpt-4.1-nano,0,3
W6-MMLU,mmlu-044,gpt-4o,1,5
W6-MMLU,mmlu-044,gpt-4o-mini,1,3
W6-MMLU,mmlu-044,gpt-4.1-nano,1,5
W6-MMLU,mmlu-045,gpt-4o,1,5
W6-MMLU,mmlu-045,gpt-4o-mini,1,5
W6-MMLU,mmlu-045,gpt-4.1-nano,1,5
W6-MMLU,mmlu-046,gpt-4o,0,5
W6-MMLU,mmlu-046,gpt-4o-mini,1,1
W6-MMLU,mmlu-046,gpt-4.1-nano,0,1
W6-MMLU,mmlu-047,gpt-4o,0,5
W6-MMLU,mmlu-047,gpt-4o-mini,0,5
W6-MMLU,mmlu-047,gpt-4.1-nano,0,1
W6-MMLU,mmlu-048,gpt-4o,1,5
W6-MMLU,mmlu-048,gpt-4o-mini,1,5
W6-MMLU,mmlu-048,gpt-4.1-nano,0,3
W6-MMLU,mmlu-049,gpt-4o,1,5
W6-MMLU,mmlu-049,gpt-4o-mini,0,3
W6-MMLU,mmlu-049,gpt-4.1-nano,1,5
W6-MMLU,mmlu-050,gpt-4o,1,5
W6-MMLU,mmlu-050,gpt-4o-mini,0,5
W6-MMLU,mmlu-050,gpt-4.1-nano,1,5
